Unnamed: 0,Bug ID,Product,Component,Status,Resolution,Summary,Average_Cos_Similarity_Bigram,Average_Cos_Similarity_Score,Changed,Description,Duplicate_Bug_Ids
151,576714.0,JGit,JGit,CLOSED,DUPLICATE,Upgrade org.apache.sshd:sshd-core to version 2.7.0,0.016515407759059516,0.027324392924316897,19-10-2021 04:47,affected versions of this package are vulnerable to buffer overflow  it allows an attacker to overflow the server causing an outofmemory error   reference         mina apache org      sshd commit  ,574220.0
879,513150.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] technology.collections 8.1.0,0.017880368469975833,0.03282648707323029,15-03-2017 16:41,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,513149.0
891,540216.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] technology.app4mc 0.9.2,0.017880368469975833,0.03282648707323029,18-10-2018 11:04,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,539997.0
1005,542667.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] modeling.mmt.qvtd 2018.0.0,0.017880368469975833,0.03282648707323029,07-02-2019 12:07,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,542532.0
1158,542639.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.wakaama 1.0.0,0.017880368469975833,0.03282648707323029,08-01-2019 12:34,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,542638.0
1178,544719.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.om2m 1.4.0,0.017880368469975833,0.03282648707323029,18-03-2019 13:48,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,544720.0
1227,540665.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.concierge 5.1.0,0.017880368469975833,0.03282648707323029,05-11-2018 10:11,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,540465.0
1247,541250.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] ee4j.servlet 4.0.2,0.017880368469975833,0.03282648707323029,16-11-2018 15:32,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,537793.0
1272,541169.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] ee4j.jsp 2.3.4,0.017880368469975833,0.03282648707323029,14-11-2018 12:29,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,541148.0
1361,517250.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] Eclipse Oxygen (4.7),0.01783163734806258,0.028940550161542847,12-06-2017 15:52,we ll use this bug to track the release  we require ip team approval of the ip log  ip log has been uploaded    bug cgi id    we require pmc approval of the release and review materials  review material          release review,517249.0
1694,538671.0,Community,CI-Jenkins,CLOSED,DUPLICATE,JIPP for Concurrency Utilities RI,0.01681878687801447,0.029074838606772065,10-09-2018 12:56,please create a jipp for the   eclipse project for concurrency utilities  ,538670.0
1790,558444.0,Mylyn,Tasks,CLOSED,DUPLICATE,GitHub Deprecation Notice after connecting with Mylyn,0.01882424952045245,0.03269092673115682,06-10-2020 06:54,after connecting to github with mylyn    i received the following message from github   hi  khatchad   you recently used a password to access an endpoint through the github api using githubeclipse        we will deprecate basic authentication using password to this endpoint soon      issues per page   page    we recommend using a personal access token   with the appropriate scope to access this endpoint instead  visit   for more information   thanks  the github team,567557.0
1808,527762.0,Community,Website,CLOSED,DUPLICATE,Cross site scripting,0.013774529823399075,0.015387897363453775,27-11-2017 04:46,created attachment   eclise screenshot  vulenrability name   cross site scripting   vulenrability description     vulenrable url        hl   id         project   project    vulenrable item   id  payload                acx  script  alert   script    how to reproduce this issue      visit this url it will alert a xss popup      hl   id                acx  script  alert     script  project   project     poc     screenshot enclosed in attachement,518274.0
1812,539770.0,Community,Wiki,CLOSED,DUPLICATE,"The ""allow cookies"" notice appears for every single page access in the wiki",0.013889364616424572,0.02339224480854627,21-11-2019 13:52,i am prompted to accept cookies with every page access in the wiki     this only seems to happen under https  afaict  i m asked exactly once when i connect anonymously via http   ,552928.0
1825,543311.0,Platform,Doc,CLOSED,DUPLICATE,login page is not working,0.01068391559238518,0.0116305122960724,09-01-2019 11:59,login page is not openinng,543300.0
1840,523546.0,JDT,Text,CLOSED,DUPLICATE,FREE *TV)))) Cowboys vs Cardinals Live Stream online,0.0,0.00030883261272390367,26-09-2017 00:52,fdsfdsfds,442999.0
1861,520810.0,Babel,Server,RESOLVED,DUPLICATE,Language switcher does not work,0.00847765184041688,0.017008163250880122,16-08-2017 10:29,section with projects is empty when selecting any language   ,520619.0
1865,511072.0,Community,Nexus,CLOSED,DUPLICATE,repo.eclipse.org responds with 503 service unavailable,0.016888804481974624,0.03150343842712805,26-01-2017 00:53,jgit builds fail to upload artefacts to repo eclipse org due to   response      console,508658.0
1946,563091.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Builds fail with Unrecognized VM option 'IdleTuningCompactOnIdle',0.009067891165515988,0.015001782291586326,12-05-2020 06:40,lemminx builds started to fail yesterday with  unrecognized vm option  idletuningcompactonidle          pipeline  builds use jdk  adoptopenjdk hotspot   latest   as seen in     ,563075.0
1948,564131.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Jobs are failing with failing to resolve download.eclipse.org or repo.eclipse.org,0.007058977953756098,0.014080840406867016,09-06-2020 11:14,we have multiple failures on platform jipp    gerrit      gerrit      gerrit     all subsequent builds,564121.0
1956,576924.0,Community,Gerrit,CLOSED,DUPLICATE,Gerrit down,0.0016796283956534077,0.0022114620662915955,28-10-2021 03:23,  gives     bad gateway nginx,576923.0
2149,528219.0,EMF,Releng,CLOSED,DUPLICATE,Migrate EMF to tycho build,0.014122859773198047,0.02428381172410828,22-01-2018 11:45,emf will need to build with tycho soon  as the old jar signer is being deprecated   removed soon ,529487.0
2308,512383.0,Orion,Electron,CLOSED,DUPLICATE,[Electron] close other tabs after open another folder,0.014792213499077651,0.02796429086898523,22-02-2017 10:20,this is because electron orion only serves one workspace  if user switch to another workspace  the files opened in other tabs won t work ,507636.0
2803,513426.0,Community,Wiki,CLOSED,DUPLICATE,"wiki.eclipse.org is ""down"" with MediaWiki 1.26 internal error Installing some external dependencies (e.g. via composer) is required.",0.016979536812116204,0.029095266953414703,10-03-2017 05:58,  currently shows   mediawiki     internal error  installing some external dependencies   is required  external dependencies  mediawiki now also has some external dependencies that need to be installed via composer or from a separate git repo  please see mediawiki org for help on installing the required components      ,513431.0
2887,518675.0,JGit,JGit,CLOSED,DUPLICATE,git force full checkout not working,0.012179634943115605,0.018796181250702565,21-01-2021 04:10,when running following command using using git cli working   git init git remote add origin  url  git fetch git checkout  b master  f   track origin master  but using jgit the last command still giving the conflicts exception   code used for last step   git git   git open     checkoutcommand checkoutcommand   git checkout     checkoutcommand setcreatebranch  setname  setupstreammode  setforce  setstartpoint  call  ,568038.0
2913,519731.0,Community,CI-Jenkins,CLOSED,DUPLICATE,HIPP3 is down,0.00968765928211819,0.016756581152504193,17-07-2017 05:05,tracecompass  rcptt  xtext and others cannot merge patches while the ci is down ,517029.0
2925,520193.0,Community,Servers,CLOSED,DUPLICATE,Download.eclipse.org timeout,0.017069234862970375,0.03889878665550973,26-07-2017 04:38,i get  connection timed out  when trying to reach download eclipse org  with any client i ve tried    this is a blocker for local development ,515596.0
2951,521520.0,Platform,IDE,CLOSED,DUPLICATE,Cannot start IDE due to infinite when painting toolbar,0.011992110157104127,0.024486434636573188,29-08-2017 08:42,created attachment   log file  ide splash screen is displayed  but it crashes before main screen is displayed ,509083.0
2987,525760.0,Platform,IDE,CLOSED,DUPLICATE,no one menu item is available,0.015315953235489328,0.02967917198688793,20-10-2017 06:44,created attachment   unavailable menu  no one menu item is available in macos high sierra and eclipse oxygen   release  ,520176.0
3044,528946.0,Platform,IDE,CLOSED,DUPLICATE,Eclipse crashes all of a sudden when trying to cut code or delete code or remove code. Its happening all the time. Please fix.,0.006058000559822767,0.00821800494016828,26-01-2018 04:29,process                eclipse     path                    users user   eclipse app contents macos eclipse identifier             org eclipse platform ide version                        code type                    parent process                 responsible            eclipse     user id                   date time                               os version             mac os x         report version           anonymous uuid                    sleep wake uuid                   time awake since boot    seconds time since wake          seconds  system integrity protection  enabled  crashed thread            dispatch queue  com apple main thread  exception type         exc bad access   exception codes        kern invalid address at   exception note         exc corpse notify  vm regions near        mapped file                       r   r x sm ali  object id            vm allocate                      rw  rwx sm prv    application specific information  abort  called  thread   crashed   dispatch queue  com apple main thread     libsystem kernel dylib             pthread kill         libsystem pthread dylib          pthread kill         libsystem c dylib                abort         libjvm dylib                     os  abort          libjvm dylib                     vmerror  report and die          libjvm dylib                     jvm handle bsd signal         libjvm dylib                     signalhandler          libsystem platform dylib          sigtramp                                                    com apple coregraphics           cgblt copybytes        com apple coregraphics                    com apple coregraphics           ripl mark        com apple coregraphics           riplayerbltimage        com apple coregraphics           ripc renderimage        com apple coregraphics           ripc drawimage        com apple coregraphics           cgcontextdelegatedrawimage        com apple appkit                   backing store drawimage block invoke        com apple appkit                 backing store delegate        com apple appkit                 backing store drawimage llvm          com apple coregraphics           cgcontextdelegatedrawimage        com apple appkit                 backing store drawwindowcontents llvm          com apple coregraphics           cgcontextdelegatedrawwindowcontents        com apple skylight               slcontextcopywindowcontentstorect        com apple appkit                  nsrenderimagefromwindow        com apple appkit                  nxscroll        com apple appkit                 nscopybitsfromgraphicscontext        com apple appkit                 nscopybits        libswt pi cocoa   jnilib      java org eclipse swt internal cocoa os nscopybits                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          libjvm dylib                     javacalls  call helper         libjvm dylib                     reflection  invoke         libjvm dylib                     reflection  invoke method         libjvm dylib                     jvm invokemethod                                                                                          thread        libsystem kernel dylib             psynch cvwait         libsystem pthread dylib           pthread cond wait         libjvm dylib                     os  platformevent  park          libjvm dylib                     parkcommon          libjvm dylib                     monitor  iwait          libjvm dylib                     monitor  wait          libjvm dylib                     gctaskmanager  get task          libjvm dylib                     gctaskthread  run          libjvm dylib                     java start          libsystem pthread dylib           pthread body        libsystem pthread dylib           pthread start        libsystem pthread dylib          thread start      thread        libsystem kernel dylib             psynch cvwait         libsystem pthread dylib           pthread cond wait         libjvm dylib                     os  platformevent  park          libjvm dylib                     parkcommon          libjvm dylib                     monitor  iwait          libjvm dylib                     monitor  wait          libjvm dylib                     gctaskmanager  get task          libjvm dylib                     gctaskthread  run          libjvm dylib                     java start          libsystem pthread dylib           pthread body        libsystem pthread dylib           pthread start        libsystem pthread dylib          thread start      thread        libsystem kernel dylib             psynch cvwait         libsystem pthread dylib           pthread cond wait         libjvm dylib                     os  platformevent  park          libjvm dylib                     parkcommon          libjvm dylib                     monitor  iwait          libjvm dylib                     monitor  wait          libjvm dylib                     gctaskmanager  get task          libjvm dylib                     gctaskthread  run          libjvm dylib                     java start          libsystem pthread dylib           pthread body        libsystem pthread dylib           pthread start        libsystem pthread dylib          thread start    ,502711.0
3156,535400.0,Community,Bugzilla,CLOSED,DUPLICATE,New target milestones do not appear,0.010957857961029554,0.02182965391150414,31-05-2018 14:34,new target milestones do not appear   i added         with key   but it does not appear ,535031.0
3163,535535.0,Community,CI-Jenkins,CLOSED,DUPLICATE,Jenkins is down,0.015406693201002204,0.03252938518378953,05-06-2018 10:38,i cannot connect to ci eclipse org  other websites   work just fine ,535543.0
3167,535831.0,Platform,UI,CLOSED,DUPLICATE,org.eclipse.e4.xwt.XWTException: Type UiBinder is not found using gwt 2.8.1,0.018972173414920572,0.02724246658081145,18-06-2018 09:57,created attachment   reporr generate in eclipse  when start one ui binder gwt the windowbuilder crash,535832.0
3181,536447.0,MPC,wizard,CLOSED,DUPLICATE,Can't open Eclipse Marketplace,0.017659251143159825,0.04346579727728715,13-08-2018 08:11,i can t access to open eclipse on eclipse photon    it always close itself ,536385.0
3182,536453.0,Community,CI-Jenkins,CLOSED,DUPLICATE,"""Unknown host download.eclipse.org"" on aCute Jenkins instance",0.007399745439065587,0.01378626083893141,29-06-2018 04:00,for example    job   gerrit   ,536435.0
3207,537644.0,Community,CI-Jenkins,CLOSED,DUPLICATE,https://ci.eclipse.org/emf/ not working,0.017110928734438074,0.03535587385020475,03-08-2018 03:33,it s failing with this error   proxy error  the proxy server received an invalid response from an upstream server  the proxy server could not handle the request get  emf    reason  error reading from remote server  other links work      i believe it s all the   instances ,537462.0
