Unnamed: 0,Bug ID,Product,Component,Status,Resolution,Summary,Average_Cos_Similarity_Score,Changed,Description,Duplicate_Bug_Ids
25,542863.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[terminate] polarsys.arcon,0.0323899411035793,18-12-2018 14:22,i ll use this bug to track the termination review and archival  i have cited lack of development activity as the reason for the termination  project leads and committers can add more to the review documentation if desired   i have tentatively scheduled the termination review for december     following termination  we ll need to shutdown archive     website    git repositories   mailing list    forum   bugzilla product   retire committers  project leads  and mentors  have i missed anything ,528221.0
151,576714.0,JGit,JGit,CLOSED,DUPLICATE,Upgrade org.apache.sshd:sshd-core to version 2.7.0,0.027324392924316897,19-10-2021 04:47,affected versions of this package are vulnerable to buffer overflow  it allows an attacker to overflow the server causing an outofmemory error   reference         mina apache org      sshd commit  ,574220.0
607,565069.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] tools.gef 5.3.0,0.03585520224360035,09-07-2020 12:20,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials   there s help regarding releases in the handbook     release,565088.0
879,513150.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] technology.collections 8.1.0,0.03282648707323029,15-03-2017 16:41,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,513149.0
891,540216.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] technology.app4mc 0.9.2,0.03282648707323029,18-10-2018 11:04,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,539997.0
1005,542667.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] modeling.mmt.qvtd 2018.0.0,0.03282648707323029,07-02-2019 12:07,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,542532.0
1158,542639.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.wakaama 1.0.0,0.03282648707323029,08-01-2019 12:34,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,542638.0
1178,544719.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.om2m 1.4.0,0.03282648707323029,18-03-2019 13:48,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,544720.0
1227,540665.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] iot.concierge 5.1.0,0.03282648707323029,05-11-2018 10:11,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,540465.0
1247,541250.0,Community,Proposals and Reviews,CLOSED,DUPLICATE,[release] ee4j.servlet 4.0.2,0.03282648707323029,16-11-2018 15:32,we ll use this bug to track the release  we require ip team approval of the ip log   we require pmc approval of the release and review materials ,537793.0
